"","Patent.Number...Numéro.du.brevet","Agent.Type.Code...Code.du.type.d.agent","Applicant.Type.Code...Code.du.type.de.demandeur","Interested.Party.Type.Code...Code.du.type.de.partie.intéressée","Interested.Party.Type...Type.de.partie.intéressée","Owner.Enable.Date...Date.d.activation.par.le.propriétaire","Ownership.End.date...Date.de.désactivation.par.le.propriétaire","Party.Name...Nom.de.la.partie","Party.Address.Line.1...Ligne.1.de.l.adresse.de.la.partie","Party.Address.Line.2...Ligne.2.de.l.adresse.de.la.partie","Party.Address.Line.3...Ligne.3.de.l.adresse.de.la.partie","Party.Address.Line.4...Ligne.4.de.l.adresse.de.la.partie","Party.Address.Line.5...Ligne.5.de.l.adresse.de.la.partie","Party.City...Ville.de.la.partie","Party.Province.Code...Code.de.la.province.de.la.partie","Party.Province...Étiquette.de.la.province.de.la.partie","Party.Postal.Code...Code.postal.de.la.partie","Party.Country.Code...Code.du.pays.de.la.partie","Party.Country...Pays.de.la.partie","Filing.Date...Date.de.dépôt","Grant.Date...Date.de.l.octroi","Application.Status.Code...Code.du.statut.de.la.demande","Application.Type.Code...Code.du.type.de.la.demande","Application.Patent.Title.English...Demande.Titre.anglais.du.brevet","Application.Patent.Title.French...Demande.Titre.français.du.brevet","Bibliographic.File.Extract.Date...Date.d.extraction.du.fichier.bibliographique","Country.of.Publication.Code...Code.du.pays.de.publication","Document.Kind.Type...Genre.du.type.de.document","Examination.Request.Date...Date.de.la.demande.d.examen","Filing.Country.Code...Code.du.pays.de.dépôt","Language.of.Filing.Code...Langue.du.dépôt.de.la.demande","License.For.Sale.Indicator...Indicateur.de.la.licence.de.vente","PCT.Application.Number...Numéro.de.demande.du.TCMB","PCT.Publication.Number...Numéro.de.publication.du.TCMB","PCT.Publication.Date...Date.de.publication.du.TCMB","Parent.Application.Number...Numéro.de.la.demande.principale","PCT.Article.22.39.fulfilled.Date...Date.d.accomplissement.des.articles.22.à.29.du.TCMB","PCT.Section.371.Date...Date.de.l.article.371.du.TCMB","PCT.Publication.Country.Code...Code.du.pays.de.publication.du.TCMB","Publication.Kind.Type...Genre.de.type.de.publication","Printed.as.Amended.Country.Code...Code.du.pays.de.la.demande.imprimée.après.modification","Country"
"278408","2903507","-2","APPLICANT","APPL","Applicant","NULL","NULL","MICLAU-S.R.I. INC.","40 AVE. LESAGE","NULL","NULL","NULL","NULL","MONTREAL EAST","Q1","Quebec","H1B 5H3","CA","Canada",2015-09-09," 2019-07-02","GR","NON-PCT","COVER PLATE WITH REMOTELY CONTROLLABLE SWITCHING CIRCUIT","PLAQUE PROTECTRICE A CIRCUIT DE COMMUTATION TELECOMMANDE","2022-06-27","CA","C","2018-02-19","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","C","CA","CA"
"278410","2903507","-2","-2","OWNR","Owner","2015-09-09","2022-01-10","MICLAU-S.R.I. INC.","40 AVE. LESAGE","NULL","NULL","NULL","NULL","MONTREAL EAST","Q1","Quebec","H1B 5H3","CA","Canada",2015-09-09," 2019-07-02","GR","NON-PCT","COVER PLATE WITH REMOTELY CONTROLLABLE SWITCHING CIRCUIT","PLAQUE PROTECTRICE A CIRCUIT DE COMMUTATION TELECOMMANDE","2022-06-27","CA","C","2018-02-19","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","C","CA","CA"
"278420","2903512","-2","APPLICANT","APPL","Applicant","NULL","NULL","ORBITE TECHNOLOGIES INC.","6505 ROUTE TRANSCANADIENNE","BUREAU 610","NULL","NULL","NULL","ST-LAURENT","Q1","Quebec","H4T 1S3","CA","Canada",2013-03-11," 2017-12-05","GR","NON-PCT","PROCESSES FOR TREATING FLY ASHES","PROCEDES DE TRAITEMENT DE CENDRES VOLANTES","2022-02-28","CA","C","2015-09-03","CA","EN"," 0","NULL","NULL","NULL","2862307","NULL","NULL","CA","C","CA","CA"
"278421","2903512","-2","-2","OWNR","Owner","2021-06-01","NULL","AEM CANADA GROUP INC.","1155 Rene-levesque W","41st Flr","NULL","NULL","NULL","MONTREAL","Q1","Quebec","H3B 3V2","CA","Canada",2013-03-11," 2017-12-05","GR","NON-PCT","PROCESSES FOR TREATING FLY ASHES","PROCEDES DE TRAITEMENT DE CENDRES VOLANTES","2022-02-28","CA","C","2015-09-03","CA","EN"," 0","NULL","NULL","NULL","2862307","NULL","NULL","CA","C","CA","CA"
"278423","2903512","-2","-2","OWNR","Owner","2013-03-11","2021-06-01","ORBITE TECHNOLOGIES INC.","6505 ROUTE TRANSCANADIENNE","BUREAU 610","NULL","NULL","NULL","ST-LAURENT","Q1","Quebec","H4T 1S3","CA","Canada",2013-03-11," 2017-12-05","GR","NON-PCT","PROCESSES FOR TREATING FLY ASHES","PROCEDES DE TRAITEMENT DE CENDRES VOLANTES","2022-02-28","CA","C","2015-09-03","CA","EN"," 0","NULL","NULL","NULL","2862307","NULL","NULL","CA","C","CA","CA"
"278469","2903531","-2","-2","OWNR","Owner","2015-09-04","NULL","GARDEX LTEE","450 1ERE AVENUE","NULL","NULL","NULL","NULL","MONT-LAURIER","Q1","Quebec","J9L 3B3","CA","Canada",2015-09-04," 2020-06-30","GR","NON-PCT","SNOWPLOW BLADE","LAME DE CHASSE-NEIGE","2022-01-17","CA","C","2018-09-11","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","C","CA","CA"
"278471","2903531","-2","APPLICANT","APPL","Applicant","NULL","NULL","GARDEX LTEE","450 1ERE AVENUE","NULL","NULL","NULL","NULL","MONT-LAURIER","Q1","Quebec","J9L 3B3","CA","Canada",2015-09-04," 2020-06-30","GR","NON-PCT","SNOWPLOW BLADE","LAME DE CHASSE-NEIGE","2022-01-17","CA","C","2018-09-11","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","C","CA","CA"
"278552","2903591","-2","APPLICANT","APPL","Applicant","NULL","NULL","AIRBOSS ENGINEERED PRODUCTS INC.","970 LANDRY","NULL","NULL","NULL","NULL","ACTON VALE","Q1","Quebec","J0H 1A0","CA","Canada",2014-03-07," 2021-04-20","GR","PCT","PERSONAL PROTECTIVE EQUIPMENT FOR CBRN OR OTHER PROTECTION","EQUIPEMENT DE PROTECTION INDIVIDUELLE POUR CBRN OU AUTRE PROTECTION","2022-02-28","CA","C","2019-03-07","CA","EN"," 0","PCT/CA2014/000198","WO2014/134715","2014-09-12","NULL","2015-09-02","2014-03-07","WO","C","CA","CA"
"278555","2903591","-2","-2","OWNR","Owner","2014-03-07","NULL","AIRBOSS ENGINEERED PRODUCTS INC.","970 LANDRY","NULL","NULL","NULL","NULL","ACTON VALE","Q1","Quebec","J0H 1A0","CA","Canada",2014-03-07," 2021-04-20","GR","PCT","PERSONAL PROTECTIVE EQUIPMENT FOR CBRN OR OTHER PROTECTION","EQUIPEMENT DE PROTECTION INDIVIDUELLE POUR CBRN OU AUTRE PROTECTION","2022-02-28","CA","C","2019-03-07","CA","EN"," 0","PCT/CA2014/000198","WO2014/134715","2014-09-12","NULL","2015-09-02","2014-03-07","WO","C","CA","CA"
"278688","2903666","-2","APPLICANT","APPL","Applicant","NULL","NULL","EMBRIONIX DESIGN INC.","OFFICE 200 - 2120 RUE MONTEREY","NULL","NULL","NULL","NULL","LAVAL","Q1","Quebec","H7L 3S3","CA","Canada",2015-09-11,"NULL","ER","NON-PCT","STANDARDIZED HOT-PLUGGABLE TRNSCEIVING UNIT WITH CONTROL PLANE FUNCTIONALITIES","MODULE RECEPTEUR NORMALISE A BRANCHEMENT A CHAUD DOTE DE FONCTIONNALITES D'AVION DE COMMANDE","2022-03-07","CA","A1","2020-09-03","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","A1","CA","CA"
"278689","2903666","-2","-2","OWNR","Owner","2020-03-16","2021-11-03","RIEDEL COMMUNICATIONS CANADA INC.","1155 BOUL RENE-LEVESQUE O, STE 4100","NULL","NULL","NULL","NULL","MONTREAL","Q1","Quebec","H3B 3V2","CA","Canada",2015-09-11,"NULL","ER","NON-PCT","STANDARDIZED HOT-PLUGGABLE TRNSCEIVING UNIT WITH CONTROL PLANE FUNCTIONALITIES","MODULE RECEPTEUR NORMALISE A BRANCHEMENT A CHAUD DOTE DE FONCTIONNALITES D'AVION DE COMMANDE","2022-03-07","CA","A1","2020-09-03","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","A1","CA","CA"
"278691","2903666","-2","-2","OWNR","Owner","2015-09-11","2020-03-16","EMBRIONIX DESIGN INC.","OFFICE 200 - 2120 RUE MONTEREY","NULL","NULL","NULL","NULL","LAVAL","Q1","Quebec","H7L 3S3","CA","Canada",2015-09-11,"NULL","ER","NON-PCT","STANDARDIZED HOT-PLUGGABLE TRNSCEIVING UNIT WITH CONTROL PLANE FUNCTIONALITIES","MODULE RECEPTEUR NORMALISE A BRANCHEMENT A CHAUD DOTE DE FONCTIONNALITES D'AVION DE COMMANDE","2022-03-07","CA","A1","2020-09-03","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","A1","CA","CA"
"278745","2903679","-2","-2","OWNR","Owner","2015-09-11","NULL","RTJ TECHNOLOGIES INC.","6560 AVE DE L'ESPLANADE","SUITE 305","NULL","NULL","NULL","MONTREAL","Q1","Quebec","H2V 4L5","CA","Canada",2015-09-11," 2016-08-16","GR","NON-PCT","METHOD AND SYSTEM TO CONTROL THE METHANE MASS FLOW RATE FOR THE PRODUCTION OF LIQUEFIED METHANE GAS (LMG)","PROCEDE ET SYSTEME DE CONTROLE DU DEBIT MASSIQUE DE METHANE POUR LA PRODUCTION DE METHANE LIQUEFIE","2022-01-17","CA","C","2015-09-11","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","C","CA","CA"
"278746","2903679","-2","APPLICANT","APPL","Applicant","NULL","NULL","RTJ TECHNOLOGIES INC.","6560 AVE DE L'ESPLANADE","SUITE 305","NULL","NULL","NULL","MONTREAL","Q1","Quebec","H2V 4L5","CA","Canada",2015-09-11," 2016-08-16","GR","NON-PCT","METHOD AND SYSTEM TO CONTROL THE METHANE MASS FLOW RATE FOR THE PRODUCTION OF LIQUEFIED METHANE GAS (LMG)","PROCEDE ET SYSTEME DE CONTROLE DU DEBIT MASSIQUE DE METHANE POUR LA PRODUCTION DE METHANE LIQUEFIE","2022-01-17","CA","C","2015-09-11","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","C","CA","CA"
"278860","2903758","-2","-2","OWNR","Owner","2022-04-13","NULL","DGB THERAPEUTICS INC.","3135 St-ZOTIQUE ST","NULL","NULL","NULL","NULL","MONTREAL","Q1","Quebec","H1Y 1E5","CA","Canada",2015-09-04,"NULL","RP","NON-PCT","INTRATHECAL MULTIDRUG INFUSION FOR PAIN CONTROL","PERFUSION INTRATECALE MULTIMEDICAMENT POUR LE CONTROLE DE LA DOULEUR","2022-05-23","CA","A1","2020-09-01","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","A1","CA","CA"
"278917","2903808","-2","APPLICANT","APPL","Applicant","NULL","NULL","PRATT & WHITNEY CANADA CORP.","1000 MARIE-VICTORIN","(01BE5)","NULL","NULL","NULL","LONGUEUIL","Q1","Quebec","J4G 1A1","CA","Canada",2015-09-10," 2018-03-27","LA","NON-PCT","PRODUCTION OF TURBINE COMPONENTS WITH HEAT-EXTRACTING FEATURES USING ADDITIVE MANUFACTURING","PRODUCTION DE COMPOSANTES DE TURBINE DOTEES DE CARACTERISTIQUES D'EXTRACTION DE CHALEUR AU MOYEN D'UN PROCEDE DE FABRICATION ADDITIF","2022-04-25","CA","C","2015-09-10","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","C","CA","CA"
"278918","2903808","-2","-2","OWNR","Owner","2015-09-10","NULL","PRATT & WHITNEY CANADA CORP.","1000 MARIE-VICTORIN","(01BE5)","NULL","NULL","NULL","LONGUEUIL","Q1","Quebec","J4G 1A1","CA","Canada",2015-09-10," 2018-03-27","LA","NON-PCT","PRODUCTION OF TURBINE COMPONENTS WITH HEAT-EXTRACTING FEATURES USING ADDITIVE MANUFACTURING","PRODUCTION DE COMPOSANTES DE TURBINE DOTEES DE CARACTERISTIQUES D'EXTRACTION DE CHALEUR AU MOYEN D'UN PROCEDE DE FABRICATION ADDITIF","2022-04-25","CA","C","2015-09-10","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","C","CA","CA"
"279086","2903919","-2","APPLICANT","APPL","Applicant","NULL","NULL","PRATT & WHITNEY CANADA CORP.","1000 MARIE-VICTORIN","(01BE5)","NULL","NULL","NULL","LONGUEUIL","Q1","Quebec","J4G 1A1","CA","Canada",2015-09-11,"NULL","DE","NON-PCT","METHOD OF CLEANING A PART","METHODE DE NETTOYAGE D'UNE PIECE","2022-01-31","CA","A1","NULL","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","A1","CA","CA"
"279088","2903919","-2","-2","OWNR","Owner","2015-09-11","NULL","PRATT & WHITNEY CANADA CORP.","1000 MARIE-VICTORIN","(01BE5)","NULL","NULL","NULL","LONGUEUIL","Q1","Quebec","J4G 1A1","CA","Canada",2015-09-11,"NULL","DE","NON-PCT","METHOD OF CLEANING A PART","METHODE DE NETTOYAGE D'UNE PIECE","2022-01-31","CA","A1","NULL","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","A1","CA","CA"
"279160","2903971","-2","APPLICANT","APPL","Applicant","NULL","NULL","BOMBARDIER INC.","400 CHEMIN DE LA COTE-VERTU OUEST","NULL","NULL","NULL","NULL","DORVAL","Q1","Quebec","H4S 1Y9","CA","Canada",2014-03-06,"NULL","DE","PCT","TANK WALL CONNECTOR SYSTEM","SYSTEME DE CONNECTEUR DE PAROI DE RESERVOIR","2022-01-17","CA","A1","2019-03-06","IB","EN"," 0","PCT/IB2014/059501","WO2014/136085","2014-09-12","NULL","2015-09-03","2014-03-06","WO","A1","CA","CA"
"279162","2903971","-2","-2","OWNR","Owner","2014-03-06","NULL","BOMBARDIER INC.","400 CHEMIN DE LA COTE-VERTU OUEST","NULL","NULL","NULL","NULL","DORVAL","Q1","Quebec","H4S 1Y9","CA","Canada",2014-03-06,"NULL","DE","PCT","TANK WALL CONNECTOR SYSTEM","SYSTEME DE CONNECTEUR DE PAROI DE RESERVOIR","2022-01-17","CA","A1","2019-03-06","IB","EN"," 0","PCT/IB2014/059501","WO2014/136085","2014-09-12","NULL","2015-09-03","2014-03-06","WO","A1","CA","CA"
"279246","2904043","-2","-2","OWNR","Owner","2014-02-26","2018-07-13","BOMBARDIER INC.","400 COTE VERTU ROAD WEST","NULL","NULL","NULL","NULL","DORVAL","Q1","Quebec","H4S 1Y9","CA","Canada",2014-02-26," 2021-04-20","GR","PCT","AIRCRAFT FLOOR INCORPORATING A GROUND PLANE","PLANCHER D'AERONEF INCORPORANT UN PLAN DE MASSE","2022-02-21","CA","C","2019-02-19","IB","EN"," 0","PCT/IB2014/000209","WO2014/135943","2014-09-12","NULL","2015-09-03","2014-02-26","WO","C","CA","CA"
"279249","2904043","-2","-2","OWNR","Owner","2020-11-16","NULL","AIRBUS CANADA LIMITED PARTNERSHIP","13100 HENRI-FABRE BLVD.","NULL","NULL","NULL","NULL","MIRABEL","Q1","Quebec","J7N 3C6","CA","Canada",2014-02-26," 2021-04-20","GR","PCT","AIRCRAFT FLOOR INCORPORATING A GROUND PLANE","PLANCHER D'AERONEF INCORPORANT UN PLAN DE MASSE","2022-02-21","CA","C","2019-02-19","IB","EN"," 0","PCT/IB2014/000209","WO2014/135943","2014-09-12","NULL","2015-09-03","2014-02-26","WO","C","CA","CA"
"279251","2904043","-2","-2","OWNR","Owner","2018-07-13","2020-11-16","C SERIES AIRCRAFT LIMITED PARTNERSHIP","13100 HENRI-FABRE BLVD","NULL","NULL","NULL","NULL","MIRABEL","Q1","Quebec","J7N 3C6","CA","Canada",2014-02-26," 2021-04-20","GR","PCT","AIRCRAFT FLOOR INCORPORATING A GROUND PLANE","PLANCHER D'AERONEF INCORPORANT UN PLAN DE MASSE","2022-02-21","CA","C","2019-02-19","IB","EN"," 0","PCT/IB2014/000209","WO2014/135943","2014-09-12","NULL","2015-09-03","2014-02-26","WO","C","CA","CA"
"279253","2904043","-2","APPLICANT","APPL","Applicant","NULL","NULL","BOMBARDIER INC.","400 COTE VERTU ROAD WEST","NULL","NULL","NULL","NULL","DORVAL","Q1","Quebec","H4S 1Y9","CA","Canada",2014-02-26," 2021-04-20","GR","PCT","AIRCRAFT FLOOR INCORPORATING A GROUND PLANE","PLANCHER D'AERONEF INCORPORANT UN PLAN DE MASSE","2022-02-21","CA","C","2019-02-19","IB","EN"," 0","PCT/IB2014/000209","WO2014/135943","2014-09-12","NULL","2015-09-03","2014-02-26","WO","C","CA","CA"
"279470","2904218","-2","-2","OWNR","Owner","2018-11-30","2020-02-25","LES INDUSTRIES DE MOULAGE POLYMAX INC.","454 EDOUARD STREET","NULL","NULL","NULL","NULL","GRANBY","Q1","Quebec","J2G 3Z3","CA","Canada",2013-03-15,"NULL","DE","PCT","HYBRID CONNECTOR, ASSEMBLY, AND METHOD FOR CREATING A WALL FROM A FLOWABLE MATERIAL","CONNECTEUR HYBRIDE, ENSEMBLE ET PROCEDE DE CREATION D'UN MUR A PARTIR DE MATERIAU POUVANT S'ECOULER","2022-01-17","CA","A1","2017-12-29","CA","EN"," 0","PCT/CA2013/050211","WO2014/138841","2014-09-18","NULL","2015-09-04","2013-03-15","WO","A1","CA","CA"
"279472","2904218","-2","APPLICANT","APPL","Applicant","NULL","NULL","LES PLASTIQUES CELLULAIRES POLYFORM INC.","454, RUE EDOUARD","NULL","NULL","NULL","NULL","GRANBY","Q1","Quebec","J2G 3Z3","CA","Canada",2013-03-15,"NULL","DE","PCT","HYBRID CONNECTOR, ASSEMBLY, AND METHOD FOR CREATING A WALL FROM A FLOWABLE MATERIAL","CONNECTEUR HYBRIDE, ENSEMBLE ET PROCEDE DE CREATION D'UN MUR A PARTIR DE MATERIAU POUVANT S'ECOULER","2022-01-17","CA","A1","2017-12-29","CA","EN"," 0","PCT/CA2013/050211","WO2014/138841","2014-09-18","NULL","2015-09-04","2013-03-15","WO","A1","CA","CA"
"279475","2904218","-2","-2","OWNR","Owner","2018-08-20","2018-11-30","POLYFORM A.G.P. INC.","454, rue Edouard","NULL","NULL","NULL","NULL","GRANBY","Q1","Quebec","J2G 3Z3","CA","Canada",2013-03-15,"NULL","DE","PCT","HYBRID CONNECTOR, ASSEMBLY, AND METHOD FOR CREATING A WALL FROM A FLOWABLE MATERIAL","CONNECTEUR HYBRIDE, ENSEMBLE ET PROCEDE DE CREATION D'UN MUR A PARTIR DE MATERIAU POUVANT S'ECOULER","2022-01-17","CA","A1","2017-12-29","CA","EN"," 0","PCT/CA2013/050211","WO2014/138841","2014-09-18","NULL","2015-09-04","2013-03-15","WO","A1","CA","CA"
"279476","2904218","-2","-2","OWNR","Owner","2013-03-15","2018-08-20","LES PLASTIQUES CELLULAIRES POLYFORM INC.","454, RUE EDOUARD","NULL","NULL","NULL","NULL","GRANBY","Q1","Quebec","J2G 3Z3","CA","Canada",2013-03-15,"NULL","DE","PCT","HYBRID CONNECTOR, ASSEMBLY, AND METHOD FOR CREATING A WALL FROM A FLOWABLE MATERIAL","CONNECTEUR HYBRIDE, ENSEMBLE ET PROCEDE DE CREATION D'UN MUR A PARTIR DE MATERIAU POUVANT S'ECOULER","2022-01-17","CA","A1","2017-12-29","CA","EN"," 0","PCT/CA2013/050211","WO2014/138841","2014-09-18","NULL","2015-09-04","2013-03-15","WO","A1","CA","CA"
"279541","2904253","-2","-2","OWNR","Owner","2014-03-12","NULL","GENETEC INC.","400 - 2280 ALFRED-NOBEL","NULL","NULL","NULL","NULL","ST-LAURENT","Q1","Quebec","H4S 2A4","CA","Canada",2014-03-12," 2016-07-12","GR","PCT","COMPUTER SYSTEM USING IN-SERVICE SOFTWARE UPGRADE","SYSTEME INFORMATIQUE UTILISANT LA MISE A NIVEAU DE LOGICIELS EN SERVICE","2022-02-14","CA","C","2016-01-27","CA","EN"," 0","PCT/CA2014/050224","WO2014/138980","2014-09-18","NULL","2015-09-04","2014-03-12","WO","C","CA","CA"
"279542","2904253","-2","APPLICANT","APPL","Applicant","NULL","NULL","GENETEC INC.","400 - 2280 ALFRED-NOBEL","NULL","NULL","NULL","NULL","ST-LAURENT","Q1","Quebec","H4S 2A4","CA","Canada",2014-03-12," 2016-07-12","GR","PCT","COMPUTER SYSTEM USING IN-SERVICE SOFTWARE UPGRADE","SYSTEME INFORMATIQUE UTILISANT LA MISE A NIVEAU DE LOGICIELS EN SERVICE","2022-02-14","CA","C","2016-01-27","CA","EN"," 0","PCT/CA2014/050224","WO2014/138980","2014-09-18","NULL","2015-09-04","2014-03-12","WO","C","CA","CA"
"279566","2904270","-2","APPLICANT","APPL","Applicant","NULL","NULL","PHARMASCIENCE INC.","100 - 6111 Royalmount Avenue","NULL","NULL","NULL","NULL","MONTREAL","Q1","Quebec","H4P 2T4","CA","Canada",2015-09-11,"NULL","DE","NON-PCT","PROTEIN KINASE INHIBITORS","INHIBITEURS DE PROTEINE KINASE","2022-01-31","CA","A1","NULL","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","A1","CA","CA"
"279569","2904270","-2","-2","OWNR","Owner","2015-09-11","2019-07-18","PHARMASCIENCE INC.","100 - 6111 Royalmount Avenue","NULL","NULL","NULL","NULL","MONTREAL","Q1","Quebec","H4P 2T4","CA","Canada",2015-09-11,"NULL","DE","NON-PCT","PROTEIN KINASE INHIBITORS","INHIBITEURS DE PROTEINE KINASE","2022-01-31","CA","A1","NULL","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","A1","CA","CA"
"279577","2904274","-2","APPLICANT","APPL","Applicant","NULL","NULL","GECKO ALLIANCE GROUP INC.","450 rue des Canetons","NULL","NULL","NULL","NULL","QUEBEC","Q1","Quebec","G2E 5W6","CA","Canada",2015-09-11," 2017-12-19","GR","NON-PCT","A METHOD FOR FACILITATING CONTROL OF A BATHING UNIT SYSTEM AND CONTROL PANEL IMPLEMENTING SAME","UNE METHODE PERMETTANT DE FACILITER LE CONTROLE D'UN MODULE DE BAIGNOIRE ET PANNEAU DE CONTROLE ASSOCIE","2022-01-17","CA","C","2015-12-24","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","C","CA","CA"
"279579","2904274","-2","-2","OWNR","Owner","2015-09-11","NULL","GECKO ALLIANCE GROUP INC.","450 rue des Canetons","NULL","NULL","NULL","NULL","QUEBEC","Q1","Quebec","G2E 5W6","CA","Canada",2015-09-11," 2017-12-19","GR","NON-PCT","A METHOD FOR FACILITATING CONTROL OF A BATHING UNIT SYSTEM AND CONTROL PANEL IMPLEMENTING SAME","UNE METHODE PERMETTANT DE FACILITER LE CONTROLE D'UN MODULE DE BAIGNOIRE ET PANNEAU DE CONTROLE ASSOCIE","2022-01-17","CA","C","2015-12-24","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","C","CA","CA"
"279841","2904455","-2","APPLICANT","APPL","Applicant","NULL","NULL","EMBRIONIX DESIGN INC.","OFFICE 200 - 2120 RUE MONTEREY","NULL","NULL","NULL","NULL","LAVAL","Q1","Quebec","H7L 3S3","CA","Canada",2015-09-21,"NULL","AA","NON-PCT","STANDARDIZED HOT-PLUGGABLE TRANSCEIVING UNIT AND METHOD FOR CONTROLLING THE UNIT THROUGH A WEB SERVER FUNCTION","MODULE D'EMETTEUR-RECEPTEUR RACCORDABLE A CHAUD NORMALISE ET METHODE DE COMMANDE DU MODULE AU MOYEN D'UNE FONCTIONNALITE DE SERVEUR WEB","2022-07-04","CA","A1","2020-09-11","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","A1","CA","CA"
"279842","2904455","-2","-2","OWNR","Owner","2015-09-21","2020-03-13","EMBRIONIX DESIGN INC.","OFFICE 200 - 2120 RUE MONTEREY","NULL","NULL","NULL","NULL","LAVAL","Q1","Quebec","H7L 3S3","CA","Canada",2015-09-21,"NULL","AA","NON-PCT","STANDARDIZED HOT-PLUGGABLE TRANSCEIVING UNIT AND METHOD FOR CONTROLLING THE UNIT THROUGH A WEB SERVER FUNCTION","MODULE D'EMETTEUR-RECEPTEUR RACCORDABLE A CHAUD NORMALISE ET METHODE DE COMMANDE DU MODULE AU MOYEN D'UNE FONCTIONNALITE DE SERVEUR WEB","2022-07-04","CA","A1","2020-09-11","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","A1","CA","CA"
"279846","2904455","-2","-2","OWNR","Owner","2020-03-13","2021-11-03","RIEDEL COMMUNICATIONS CANADA INC.","1155 BOUL RENE-LEVESQUE O, STE 4100","NULL","NULL","NULL","NULL","MONTREAL","Q1","Quebec","H3B 3V2","CA","Canada",2015-09-21,"NULL","AA","NON-PCT","STANDARDIZED HOT-PLUGGABLE TRANSCEIVING UNIT AND METHOD FOR CONTROLLING THE UNIT THROUGH A WEB SERVER FUNCTION","MODULE D'EMETTEUR-RECEPTEUR RACCORDABLE A CHAUD NORMALISE ET METHODE DE COMMANDE DU MODULE AU MOYEN D'UNE FONCTIONNALITE DE SERVEUR WEB","2022-07-04","CA","A1","2020-09-11","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","A1","CA","CA"
"279904","2904490","-2","APPLICANT","APPL","Applicant","NULL","NULL","PRATT & WHITNEY CANADA CORP.","1000 MARIE-VICTORIN","(01BE5)","NULL","NULL","NULL","LONGUEUIL","Q1","Quebec","J4G 1A1","CA","Canada",2015-09-15,"NULL","RP","NON-PCT","GAS TURBINE ENGINE INLET","PRISE D'ENTREE DE TURBINE A GAZ","2022-08-22","CA","A1","2021-03-12","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","A1","CA","CA"
"279906","2904490","-2","-2","OWNR","Owner","2015-09-15","NULL","PRATT & WHITNEY CANADA CORP.","1000 MARIE-VICTORIN","(01BE5)","NULL","NULL","NULL","LONGUEUIL","Q1","Quebec","J4G 1A1","CA","Canada",2015-09-15,"NULL","RP","NON-PCT","GAS TURBINE ENGINE INLET","PRISE D'ENTREE DE TURBINE A GAZ","2022-08-22","CA","A1","2021-03-12","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","A1","CA","CA"
"279946","2904518","-2","-2","OWNR","Owner","2015-04-28","NULL","VERT.COM INC.","303 - 194, rue Saint-Paul Ouest","NULL","NULL","NULL","NULL","MONTREAL","Q1","Quebec","H2Y 1Z8","CA","Canada",2015-04-28," 2016-07-12","LA","PCT","ENERGY EFFICIENT VERTICAL DATA CENTER","CENTRE DE DONNEES VERTICAL ECONERGETIQUE","2022-04-18","CA","C","2015-09-18","CA","EN"," 0","PCT/CA2015/050350","2904518","2015-12-07","NULL","2015-09-18","2015-04-28","WO","C","CA","CA"
"279951","2904518","-2","APPLICANT","APPL","Applicant","NULL","NULL","VERT.COM INC.","303 - 194, rue Saint-Paul Ouest","NULL","NULL","NULL","NULL","MONTREAL","Q1","Quebec","H2Y 1Z8","CA","Canada",2015-04-28," 2016-07-12","LA","PCT","ENERGY EFFICIENT VERTICAL DATA CENTER","CENTRE DE DONNEES VERTICAL ECONERGETIQUE","2022-04-18","CA","C","2015-09-18","CA","EN"," 0","PCT/CA2015/050350","2904518","2015-12-07","NULL","2015-09-18","2015-04-28","WO","C","CA","CA"
